Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://theprofitplatform.com.au/blog/how-to-write-google-ads-copy-that-converts-for-sydney-service-businesses/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",5,0.0019447174588217,n/a,3,200,0.043,0,1,1,0,0,Canonical to other page,0,1,29,5,0,2,1,8,59,27,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/keyword-research-for-local-sydney-businesses-the-complete-framework/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",11,0.0019544880723833076,n/a,3,200,0.045,0,1,1,0,0,Canonical to other page,0,1,29,5,0,2,1,8,59,27,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/lead-generation-funnels-for-sydney-professional-services-firms,,-,0.004998311097139736,n/a,2,308,0.011,0,0,0,0,0,-,0,69,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/lead-generation-funnels-for-sydney-professional-services-firms/,Lead Generation Funnels for Sydney Professional Services Firms | The Profit Platform,75,0.00719669038519133,n/a,2,200,0.04,1,1,1,0,0,Self-canonical,1,1,34,24,0,2,0,8,61,46,discover how sydney professional services firms can build lead generation funnels that convert 68% more prospects into paying clients. get the blueprint now.,Google-Extended
https://theprofitplatform.com.au/blog/link-building-strategies-that-actually-work-for-sydney-businesses,,-,0.005170526338582214,n/a,2,308,0.013,0,0,0,0,0,-,0,71,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/link-building-strategies-that-actually-work-for-sydney-businesses/,Link Building Strategies That Actually Work for Sydney Businesses | The Profit Platform,80,0.0073862577969940205,n/a,2,200,0.06,1,1,1,0,0,Self-canonical,1,1,38,9,0,2,0,8,61,32,"discover proven link building sydney strategies that helped local businesses gain 127+ quality backlinks and boost revenue by $73,000 annually. get results now.",Google-Extended
https://theprofitplatform.com.au/blog/local-citations-building-authority-for-sydney-multi-location-businesses,,-,0.004998311097139736,n/a,2,308,0.016,0,0,0,0,0,-,0,69,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/local-citations-building-authority-for-sydney-multi-location-businesses/,Local Citations: Building Authority for Sydney Multi-Location Businesses | The Profit Platform,75,0.00719669038519133,n/a,2,200,0.069,1,1,1,0,0,Self-canonical,1,1,37,10,0,2,0,8,61,31,discover how local citations sydney businesses need to dominate search rankings. 67% are sabotaging results with inconsistent listings across directories.,Google-Extended
https://theprofitplatform.com.au/blog/local-seo-checklist-47-steps-to-dominate-sydney-suburb-search-results,,-,0.005486358653468249,n/a,2,308,0.012,0,0,0,0,0,-,0,74,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/local-seo-checklist-47-steps-to-dominate-sydney-suburb-search-results/,Local SEO Checklist: 47 Steps to Dominate Sydney Suburb Search Results | The Profit Platform,85,0.007824954729012772,n/a,2,200,0.067,1,1,1,0,0,Self-canonical,1,2,37,11,0,2,0,8,61,30,boost your sydney business with our 47-step local seo checklist. dominate suburb search results and outrank competitors using proven local seo sydney strategies,Google-Extended
